Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence.1,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,wind_speed_10m,wind_gusts_10m
Running,2024-07-09 05:56:03,False,Barnet - W01D2-Easy Run,2.81,240,00:30:07,135,144,2.1,149,192,10:42,8:59,22,24,0.64,6.0,3.9,378,50.3% L / 49.7% R,10:37,--,181,0.0,173,276,"4,438",-4,22.0,No,00:00:02.7,5,26.0,28,19,36,00:29:28,00:30:07,53,63,15.05,91.345406,13.65,14.095026,100.0,14.618837,30.599998
Running,2024-07-03 05:47:48,False,Barnet - W10D3-Easy Run,3.05,255,00:30:11,132,144,2.1,155,165,9:54,7:54,26,25,0.67,5.7,3.9,375,49.8% L / 50.2% R,9:47,--,190,0.0,187,353,"4,630",-3,19.0,No,00:00:02.4,6,25.0,29,21,44,00:30:04,00:30:11,54,64,12.1,87.28513,10.05,11.907902,100.0,1.5273507,10.440001
Running,2024-07-02 05:45:26,False,Barnet - W10D2-Intervals,4.6,410,00:38:13,147,169,3.3,160,174,8:19,5:15,34,36,0.76,6.6,5.2,317,50.3% L / 49.7% R,8:18,--,267,0.0,243,446,"6,046",-9,18.0,No,00:00:06.3,14,26.0,33,19,45,00:38:10,00:38:13,52,64,12.45,74.03738,7.95,9.699799,81.0,15.192682,28.08
Running,2024-06-29 06:09:30,False,Barnet - W09D6-Easy Run,4.26,349,00:40:36,132,143,2.1,157,163,9:32,7:28,28,30,0.67,6.4,4.4,368,50.1% L / 49.9% R,9:30,--,205,0.0,202,308,"6,334",-9,19.0,No,00:00:03.5,7,25.0,29,13,40,00:40:34,00:40:36,52,63,12.5,77.64412,8.7,11.634193,61.0,3.6,10.799999
Running,2024-06-20 06:45:52,False,Osceola County - W08D4-Recovery Run,3.43,291,00:30:25,138,148,2.1,158,166,8:53,6:43,4,2,0.72,7.2,5.3,341,50.2% L / 49.8% R,8:51,--,233,0.0,227,491,"4,778",-6,27.0,No,00:00:02.8,6,30.0,28,16,40,00:30:06,00:30:25,25,30,11.45,80.98124,8.3,9.7231245,4.0,8.78872,18.0
Running,2024-06-17 05:32:38,False,Barnet - W08D1a-Recovery Run,3.07,250,00:30:06,128,140,1.5,157,163,9:48,8:38,16,18,0.67,6.1,4.2,371,50.0% L / 50.0% R,9:43,--,194,0.0,192,268,"4,668",-5,17.0,No,00:00:01.7,6,26.0,29,17,38,00:30:03,00:30:06,51,62,10.1,89.4919,8.45,8.167584,7.0,10.464797,18.0
Running,2024-06-16 06:34:20,False,Barnet - W07D7-Long Run,15.03,"1,250",02:38:16,133,152,3.0,149,187,10:32,7:27,195,194,0.65,6.0,4.0,380,49.7% L / 50.3% R,10:22,--,186,0.0,179,321,"23,332",-23,15.0,No,00:00:02.3,17,26.0,29,13,49,02:36:43,02:38:16,52,125,12.25,79.46432,8.8,9.039161,100.0,19.862083,43.92
Running,2024-06-15 07:39:03,False,Barnet - W07D5-Intervals,5.52,471,00:49:14,143,173,2.8,156,173,8:55,5:58,45,46,0.72,6.4,4.7,344,50.7% L / 49.3% R,8:54,--,246,0.0,223,418,"7,616",-14,18.0,No,00:00:02.3,12,27.0,33,20,56,00:49:04,00:49:14,52,78,11.6,83.50365,8.9,8.865103,96.0,16.78156,39.239998
Running,2024-06-13 05:54:30,False,Barnet - W07D4-Easy Run,4.31,351,00:40:22,129,139,2.0,157,164,9:22,7:48,29,31,0.69,6.1,4.3,369,50.2% L / 49.8% R,9:20,--,203,0.0,201,300,"6,296",-7,15.0,No,00:00:01.5,7,28.0,28,14,35,00:40:20,00:40:22,52,64,7.95,89.013306,6.25,5.76254,100.0,8.534353,17.28
Running,2024-06-12 05:35:21,False,Barnet - W07D3-Intervals,8.42,761,01:07:58,154,168,3.7,163,179,8:04,5:49,66,67,0.78,7.1,5.7,304,50.2% L / 49.8% R,7:50,--,284,0.0,269,440,"10,726",-12,14.0,No,00:00:03.7,16,24.0,34,19,51,01:06:19,01:06:28,51,78,8.15,92.456505,7.0,7.159339,16.0,1.5273507,4.32
Running,2024-06-11 05:53:12,False,Barnet - W07D2a-Recovery Run,3.42,288,00:30:26,136,146,2.1,161,168,8:54,7:21,25,27,0.71,6.6,4.8,349,50.5% L / 49.5% R,8:53,--,227,0.0,222,344,"4,850",-5,14.0,No,00:00:02.1,6,26.0,28,17,37,00:30:23,00:30:26,52,62,7.1,88.942566,5.4,4.057191,100.0,13.104198,23.4
Running,2024-06-09 06:56:04,False,Barnet - W06D7-Long Run,14.42,"1,183",02:30:08,132,150,3.0,150,192,10:25,5:19,166,167,0.65,6.0,4.0,377,50.2% L / 49.8% R,10:20,--,187,0.0,181,428,"22,296",-13,15.0,No,00:00:03.1,17,27.0,28,20,40,02:29:28,02:30:08,48,120,10.05,73.610664,5.55,7.4772997,0.0,10.105681,19.08
Running,2024-06-08 07:46:49,False,Barnet - W06D6-Intervals,5.72,511,00:45:43,153,169,3.4,161,171,8:00,6:07,39,41,0.78,7.4,6.0,305,50.0% L / 50.0% R,8:00,--,284,0.0,266,415,"7,268",-10,19.0,No,00:00:02.0,13,28.0,34,13,46,00:45:38,00:45:45,51,77,13.05,77.20754,9.15,10.11941,65.0,18.584509,35.28
Running,2024-06-06 06:16:07,False,Barnet - W06D4-Intervals,5.32,454,00:45:54,148,168,3.0,158,176,8:38,5:46,36,40,0.74,6.8,5.1,330,50.0% L / 50.0% R,8:39,--,259,0.0,233,406,"7,166",-9,16.0,No,00:00:02.2,14,28.0,32,19,44,00:45:51,00:45:54,52,76,10.25,79.44532,6.85,8.129872,46.0,9.028754,18.359999
Running,2024-06-05 05:49:24,False,Barnet - W06D3a-Recovery Run,3.34,276,00:30:47,135,147,2.0,159,167,9:13,7:50,26,28,0.69,6.9,4.9,355,50.1% L / 49.9% R,9:11,--,221,0.0,218,330,"4,846",-6,15.0,No,00:00:04.0,6,27.0,29,16,38,00:30:45,00:30:47,52,63,7.65,84.18801,5.15,5.31318,4.0,7.8954163,13.679999
Running,2024-06-04 05:39:00,False,Barnet - W06D2-Intervals,5.72,515,00:46:17,157,170,3.3,161,171,8:05,6:31,38,40,0.77,7.8,6.2,308,50.0% L / 50.0% R,8:06,--,291,0.0,276,415,"7,396",-11,20.0,No,00:00:03.6,13,26.0,36,14,48,00:46:10,00:46:17,52,77,13.5,93.6747,12.5,13.285742,100.0,6.849467,12.24
Running,2024-06-01 16:53:46,False,Barnet - W05D7-Long Run,8.68,716,01:34:39,135,151,2.4,145,163,10:54,7:19,96,98,0.64,6.0,4.0,383,49.6% L / 50.4% R,10:48,--,179,0.0,171,395,"13,608",-8,19.0,No,00:00:03.9,11,26.0,30,19,40,01:34:36,01:34:39,51,111,15.5,67.68651,9.55,11.846619,64.0,24.29133,47.519997
Running,2024-05-31 07:22:04,False,Barnet - W05D6-Intervals,5.84,522,00:46:07,157,173,3.4,161,170,7:53,6:11,44,45,0.79,7.8,6.3,314,50.3% L / 49.7% R,7:53,--,302,0.0,285,444,"7,358",-15,16.0,No,00:00:03.0,16,27.0,34,20,43,00:46:05,00:46:07,50,75,12.55,74.054955,8.05,8.522838,100.0,24.122686,45.0
